"Names","Names_vis","Groups","Definition","Groups.type","size"
"F-Spatial_smooth","SpaSmooth","Functional_preprocessing","Some variabilities may still occur after normalization, this step tackles this issue by averaging data points with their neighbours. This step also aims to increase signal to noise ratio.",2,129
"F-Extract_regressors","RegressorsExtract","Functional_preprocessing","Extracting the regressors (DVARS, FD, etc.) to perform noise removal via F-Other_confound_regression.",2,3
"F-surface","FuncSurface","Functional_preprocessing","Transformation from volumetric space to surface.",2,15
"F-RETROICOR","RETROICOR","Noise_removal","Removal of time-locked cardiac and respiratory artifacts proposed by Glover, et al. (2000).",4,3
"F-RVHRCOR","RVHRCOR","Noise_removal","Correcting physiological noise using the combination of RETROICOR and the method proposed by Cang, et al. (2010) on removal of low-frequency respiratory and heart rate effects.",4,1
"F-ANATICOR","ANATICOR","Noise_removal","Forming regressors from white matter tissue to reduce hardware-related artifact proposed by Jo, et al. (2010).",4,1
"F-PESTICA","PESTICA","Noise_removal","Physiologic estimation by Temporal ICA, that estimates physiologic signals when external physiologic measures are not available (Shin, et al., 2022).",4,1
"F-CompCor","CompCor","Noise_removal","Using principal component analyses, significant principal components are derived from noise regions of interest (ROI) in which the time series data are unlikely to be modulated by neural activity. These components are then included as nuisance parameters in the regressors (Behzadi, et al., 2007).",4,8
"F-tCompCor","tCompCor","Noise_removal","Implementing CompCor by Behzadi et al. (2007) where the the determination of noise ROI is based upon the temporal standard deviation of the time series data.",4,1
"F-aCompCor","aCompCor","Noise_removal","Implementing CompCor where the determination of noise ROI uses high-resolution anatomical data to define a region of interest composed primarily of white matter and cerebrospinal fluid.",4,16
"F-ME_ICA","ME_ICA","Noise_removal","Only applicable for scans with multi echoes, this steps performs ICA in multi-echo fMRI.",4,1
"F-ArtRepair","ArtRepair","Noise_removal","The toolbox improves fMRI analysis of high motion pediatric and clinical subjects. The toolbox includes special algorithms for motion adjustment, data repair, and noise filtering, and methods to find outlier subjects in group studies. ",4,2
"F-Temporal_detrending","TempDetrend","Noise_removal","This step aims to remove drift components in fMRI time-series data by removing trends (linear, cubic, or quadratic).",4,70
"F-Global_signal","GlobalSigRegress","Noise_removal","The regression of global signal (mean from all voxels/areas).",4,65
"F-ICA_FIX","ICA_FIX","Noise_removal","This method attempts to auto-classify ICA components into ""good"" vs ""bad"" components, so that the bad components can be removed from the time series fMRI data (Salimi-Khorshidi, et al., 2014).",4,12
"F-ICA_AROMA","ICA_AROMA","Noise_removal","A data-driven method to identify and remove motion-related independent components from fMRI data (Pruim, et al., 2015). Unlike ICA-FIX, ICA_AROMA does not need retraining on the new dataset by employing four theoretically motivated features embedded in a simple and robust classifier.",4,5
"F-Temporal_filt","TempFilter","Noise_removal","This steps performs filtering (low, band, or high) in fMRI time-series data.",4,167
"F-motion_regression","MotionRegress","Noise_removal","The regression of motion parameters obtained during alignment.",4,147
"F-Other_confound_regression","ConfoundRegress","Noise_removal","Regression of other components aside from global signal and motion parameters, such as mean signal from CSF, WM, FD and DVARS parameter.",4,131
"F-PhysIO","PhysIO","Noise_removal","Toolbox for the preprocessing of physiological recordings and model-based noise correction. It also implements RETORICOR in the modeling. Thus, similarly to RETROICOR, information on physiological signal is required (Kasper, et al., 2017).",4,0
"F-Regressors_filter","RegressorsFilter","Noise_removal","This step implements the same filter (as performed in time series data) to components which are used in the regression.",4,5
"F-Modular_filter_motion","ModularFilterMotion","Noise_removal","Combining band- /low- /highpass filter and motion regression in one matrix.",4,0
"F-wavelet_decomposition","WaveletDecompose","Noise_removal","This step decomposes the time-series into several bands of frequency. The next analysis is performed in the frequency domain of the chosen band.",4,6
"Atlas_definition","AtlasDefine","FC_def","This step maps the voxel-wise image to area-based data and extract the time series of each area.",1,203
"Time_series_ROI","ROITSDefine","FC_def","Calculating the time series of the brain areas from the voxel-wise time series.",1,141
"ROI_definition","ROIDefine","FC_def","It defines the regions of interest based on the atlas.",1,182
"Combine_block","BlockCombine","FC_def","It is applicable if are more than one block of fMRI runs (resting-state). This step combines several blocks.",1,16
"Compute_connectivity","ConnectCompute","FC_def","Computing the functional connectivity between brain areas.",1,201
"Connectivity_normalization","ConnectNormalize","FC_def","Normalizing the functional connectivity by z-scored Fisher transformation.",1,75
"Network_definition","NetworkDefine","Graph_analysis","Defining the modules (networks) of the brain and assigning each area to the corresponding module.",3,84
"Graph_characteristics","GraphDefine","Graph_analysis","This step defines the network characteristics, weighted or binarized.",3,176
"Negative_correlation","NegCCHandle","Graph_analysis","This step defines whether and how to handle negative values in the correlation matrix.",3,88
"Sparsity_control","SparseControl","Graph_analysis","Defining the threshold to create a sparse network.",3,173
"Graph_measures","GraphMeasDefine","Graph_analysis","Quantifying the graph measures for further analyses.",3,210
"Result_aggregation","ResultAggregate","Graph_analysis","Aggregating the results (graph measures) across different thresholds.",3,0
